relationship_type,category,definition,example,set,typical_evidence
solicited-funds-for,Financial,"Actively requested money or in‑kind financial support from another entity or the public on behalf of a target program, event, or organization.","An organizer emails supporters and posts on social asking people to donate to Organization B’s legal defense fund, including links to contribute.",Basic,"Fundraising emails or DMs, public solicitation posts, campaign pages, donation links created by the requester, grant pitch decks or proposals, call‑to‑action language in press or speeches."
donated,Financial,"Provides money, goods, or services voluntarily with no expectation of return or control.","A foundation donated $50,000 to a relief NGO for disaster response.",Basic,"Donation receipts, nonprofit annual reports, donor honor rolls, campaign finance disclosures, IRS filings, audited financials."
fiscally-sponsored,Financial,"Serves as a legal and financial umbrella for another organization; holds nonprofit status, receives and disburses funds, and assumes compliance responsibility.","The Alliance for Global Justice (AFGJ) fiscally-sponsors over 130 organizations, including the Venezuela Solidarity Network.",Basic,Typically public disclosure
granted,Financial,Receives conditional funding under a formal grant agreement for specific activities.,The National Science Foundation granted a university $3 million for AI ethics research.,Basic,"Grant agreements, award letters, foundation databases, IRS 990-PF, grantee disclosures."
privately-funded,Financial,Operates primarily through private or corporate financing rather than public or government sources.,A think tank is privately funded by corporate sponsors and individual donors.,Basic,"Audited financials showing private revenue sources, donor disclosures, absence of government grant lines, official statements."
funded,Financial,"Provides money or in‑kind financial support to another entity for operations, programs, campaigns, legal costs, or other activities.",James “Fergie” Chambers paying legal fees for Palestine Action members as stated in a 2023 interview and summarized in the NGO Monitor profile.,Basic,"Grant records, donor lists, annual reports, IRS filings, court filings, official statements, credible media or organizational reports linking a funder to a recipient, crowdfunding pages with recipient identification."
financed,Financial,"Provides structured financial capital, such as loans or underwriting, for strategic or financial gain.",A development bank finances a renewable energy project through a long‑term loan.,Basic,"Loan agreements, offering memoranda, SEC filings, lender announcements, project finance disclosures, credible media or investor presentations."
sponsored,Financial,"Provides formal financial backing for a program, event, or initiative in exchange for recognition or influence.",A company sponsors a conference at the Gold tier for brand visibility.,Basic,"Sponsorship agreements, event prospectuses, sponsor logo placement, press releases."
invested-in,Financial,Acquires equity or ownership in another organization or asset with expectation of return.,SoftBank’s Vision Fund invests in a robotics startup for strategic growth.,Basic,"SEC filings, investment announcements, cap tables, venture press releases, portfolio listings."
held-funds-for,Financial,"Temporarily manages or safeguards another entity’s assets (e.g., escrow, donor-advised fund) without assuming governance or legal responsibility.",A donor-advised fund holds funds for a grantee collective until disbursement.,Expanded,"Escrow agreements, DAF statements, fiscal sponsorship agreements, custodian statements."
embezzled,Financial,Misappropriates or diverts funds entrusted to an individual or organization.,An official embezzled public funds by creating a fictitious vendor scheme.,Expanded,"Indictments, court records, forensic audits, regulatory findings, credible investigative reporting."
