example_id,mechanism,function,updated,quote,id,URL,title
Rule Imposition-0001,Rule Imposition,Command and Control,1/20/2026 1:26am,"After the 1992 war in Transnistria in which Moscow sided with separatist forces, Moldova succumbed to Russian pressure and included a guarantee for permanent neutrality in its 1994 Constitution. The plan was to barter neutrality in exchange for Russian troop withdrawals from the region, but these withdrawals never took place, as evident in Russia’s continuing military presence in the region.",1,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
Rule Imposition-0002,Rule Imposition,Command and Control,1/20/2026 1:26am,"The plan was to barter neutrality in exchange for Russian troop withdrawals from the region, but these withdrawals never took place, as evident in Russia’s continuing military presence in the region. Arguing on the principle of Moldova’s constitutionally mandated neutrality, Russia has consistently stifled support for Moldova’s efforts to increase its defense and military capabilities. Pro-Kremlin propaganda in Chisinau has targeted Moldova with a narrative that it does not need an army because it is a neutral nation. Critics claim that successive Moldovan governments, under the pretext of neutrality, have deliberately ignored the security and defense sectors over the years, refusing to acknowledge the evolving Russian threat.",2,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
Diplomatic Theater-0003,Diplomatic Theater,Command and Control,1/20/2026 1:26am,"In December 2022, in an interview with RIA Novosti, Russian Deputy Foreign Minister Mihail Galuzin said that NATO’s plans to provide Moldova with weapons threaten to lead to “catastrophe.”",3,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
False Flag-0004,False Flag,Obfuscation,1/20/2026 1:26am,"On February 14, when Moldova’s airspace was temporarily closed due to the detection of “an unidentified small object,” Telegram channel Старая площадь (“Old Square”), which has 136,000 subscribers, published a panic-inducing message stating in Russian, “Moldova is on the verge of some terrible events. All civilian planes have disappeared from the sky…Under the leadership of President Maia Sandu [a Romanian citizen], a conflict with Transnistria with the participation of British special services will be provoked. After that, Romanian troops will enter the territory of Moldova under the guise of military assistance to the ‘fraternal’ people.”",4,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
Mil-Bloggers-0005,Mil-Bloggers,Operational Multipliers,1/20/2026 1:26am,Russian Telegram channels frequently spread speculation concerning Romanian military participation in the conflict.,5,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
Mil-Bloggers-0006,Mil-Bloggers,Operational Multipliers,1/20/2026 1:26am,"Previously in October 2022, a well-known Russian Telegram channel called WarGonzo wrote, “The [Western] curators have directed [Moldovan President] Sandu to work out the details of a large-scale military mobilization in Moldova to build a second front for Russia alongside Romanian forces.”",6,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
Campaign Synchronization-0007,Campaign Synchronization,Operational Multipliers,1/20/2026 1:26am,"Ilan Shor, another opposition politician who is accused of organizing anti-government protests at the behest of the Russian secret service, used the same rhetoric, accusing the Moldovan government of conspiring with the Ukrainian authorities. “[President] Maia Sandu is trying to drag Moldova into a war with Russia; she is doing everything possible, at any cost, to spill blood on the territory of Moldova, just to stay in power,” Sor said in a video posted to his Facebook page. In the video, he also called on the population to protest: “Say NO to war, NO to the shedding of blood, NO to the murder of the Moldovan people in the name of the interests of Maia Sandu and her gang!”.",7,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
Overt State Media-0008,Overt State Media,Command and Control,1/20/2026 1:26am,"The Kremlin adopted this version as its official narrative two days later on February 23, when the Russian Ministry of Defense warned that Ukraine was planning provocative actions in Transnistria. Russian state media, including 1TV, NTV, TASS, Vedomosti.ru, and RIA, as well as their affiliated Telegram channels from Moldova and the Transnistria region, quickly amplified the official statement.",8,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
Diplomatic Theater-0009,Diplomatic Theater,Command and Control,1/20/2026 1:26am,"On February 24, the Russian defense ministry issued a statement saying, “Any actions that pose a threat to our compatriots, the Russian peacekeeping contingent, the Operational Group of Russian Forces, and military depots in Colbasna will be considered, in accordance with international law, an attack on the Russian Federation.” Later, foreign ministry spokeswoman Maria Zakharova expressed concern about the possibility of delivering radioactive substances to Ukraine through the ports of Odesa and Chernomorsk, fearing a provocation in Transnistria. Moscow’s rhetoric in recent months has been increasingly provocative. Its push of inflammatory and escalatory narratives is supported by a complex information ecosystem in Moldova, which includes state representatives, media outlets, social media platforms, and influencers with vested interests working to create, disseminate, and amplify Kremlin-induced narratives.",9,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
False Flag-0010,False Flag,Obfuscation,1/20/2026 1:26am,"On Sunday, February 26, a post on the Novorossia_Region Telegram channel stated, “The Ukronazi regime in Kyiv, stirred up by the American military, is preparing an armed provocation against Transnistria.” As supposed proof, it showed a picture of what it claimed to be a document from the Ukrainian army. The Center for Strategic Communications and Information Security of Ukraine, however, denied the veracity of the document. Declaring that through this fake, “the propagandists are trying to discredit the Armed Forces of Ukraine.” According to the institution, the document does not correspond to the standard model used by the military command of Ukraine, and the wording in the document does not correspond to formal Ukrainian, including grammatical errors. On February 27, the Canal Fort channel published a video titled “The Romanian anti-aircraft missile system is advancing to the border (with Moldova).” In the video, with a Romanian war song in the background, a column of military equipment can be seen moving through the central streets of a Romanian city. The same video, with the same description, was uploaded to a YouTube channel called Anonymous Network | News, which was created on February 27, 2023. The video was also actively circulated on Twitter by openly pro-Russian or far-right accounts, as well as ones that spread COVID-19 conspiracy narratives.",10,https://medium.com/dfrlab/russia-builds-a-special-information-operation-around-transnistria-bcc61fb06778,Russia builds a “special information operation” around Transnistria
